RNRUN,RNKEYTYP,RNKEYDTA,RNNOTE,RNJOBUSR,RNJOBNBR,RNJOBNAM,RNPGM,RNTS
501,,,,SKILNER,548272,QPADEV000K,PI1000,38:31.7
502,,,,SKILNER,548272,QPADEV000K,PI1000,04:27.9
503,,,,SKILNER,548272,QPADEV000K,PI1000,06:28.2
504,,,,SKILNER,550419,QPADEV000G,PI1000,20:48.9
505,,,,SKILNER,550419,QPADEV000G,PI1000,24:58.9
506,,,,SKILNER,550419,QPADEV000G,PI1000,26:11.4
507,,,,SKILNER,550419,QPADEV000G,PI1000,30:38.1
508,,,,SKILNER,550419,QPADEV000G,PI1000,31:42.4
509,,,,SKILNER,550419,QPADEV000G,IN4000,33:53.0
510,,,,SKILNER,550419,QPADEV000G,IN4000,35:01.5
511,,,,SKILNER,550419,QPADEV000G,PI1000,35:13.2
512,,,,SKILNER,550419,QPADEV000G,FM0300,07:08.5
513,,,,SKILNER,550419,QPADEV000G,FM1800,09:01.8
514,,,,SKILNER,550419,QPADEV000G,FM1800,11:23.7
515,,,,SKILNER,550567,QPADEV0009,AD1020,24:21.3
516,,,,SKILNER,556110,QPADEV000P,AD1070,33:48.7
517,,,,SKILNER,556110,QPADEV000P,AD1070,42:08.3
518,,,,SKILNER,556110,QPADEV000P,AD1070,56:37.9
519,,,,SKILNER,556110,QPADEV000P,AD1070,58:53.5
520,,,,SKILNER,556136,QPADEV0006,AD1070,02:39.4
521,,,,SKILNER,556136,QPADEV0006,SF1000,25:37.4
522,,,,SKILNER,556136,QPADEV0006,SF1000,30:23.2
523,,,,SKILNER,556136,QPADEV0006,SF1000,32:17.4
524,,,,SKILNER,556136,QPADEV0006,SF1000,32:59.1
525,,,,SKILNER,556136,QPADEV0006,SF1000,34:00.0
526,,,,RROGERSON,563445,RROGC0,IN4000,11:23.7
527,,,,RROGERSON,563443,RROGB0,BF2300,19:03.5
528,,,,SKILNER,563542,QPADEV000M,BF2300,34:22.6
529,,,,SKILNER,563542,QPADEV000M,BF2300,58:09.1
530,,,,SKILNER,563542,QPADEV000M,BF2300,05:56.7
531,,,,SKILNER,563542,QPADEV000M,BF2300,06:30.0
532,,,,SKILNER,563542,QPADEV000M,BF2300,11:57.1
